date,query,page,impressions,clicks,ctr,position
2025-06-19,precatórios união,https://precavida.com.br/,1237,176,0.14245256973933917,4.2
2025-06-19,precatórios,https://precavida.com.br/,1162,100,0.08655866679031148,2.6
2025-06-19,calculadora precatórios,https://precavida.com.br/,1242,116,0.0939186355480654,2.6
2025-06-19,leis precatórias,https://precavida.com.br/,1030,54,0.052460452314192677,6.3
2025-06-19,precavida precatórios,https://precavida.com.br/,1359,185,0.13640734762829654,2.5
2025-06-19,precatórios valor,https://precavida.com.br/precatorios,580,60,0.10512855663392398,3.4
2025-06-19,advogado precatórios,https://precavida.com.br/precatorios,657,86,0.13108122506856726,4.5
2025-06-19,calculadora precatórios,https://precavida.com.br/precatorios,710,60,0.08551601386549207,4.8
2025-06-19,precatórios estaduais,https://precavida.com.br/precatorios,651,91,0.1403194830217544,4.0
2025-06-19,direitos precatórios,https://precavida.com.br/precatorios,748,94,0.1262884322997397,2.7
2025-06-19,consultoria precatórios,https://precavida.com.br/precatorios/como-receber,590,53,0.09138578680092593,4.6
2025-06-19,como receber precatórios,https://precavida.com.br/precatorios/como-receber,607,88,0.14556582113987457,3.2
2025-06-19,leis precatórias,https://precavida.com.br/precatorios/como-receber,296,19,0.06645633989751745,5.5
2025-06-19,precatórios união,https://precavida.com.br/precatorios/como-receber,512,74,0.14477738257348524,3.2
2025-06-19,precatórios tempo recebimento,https://precavida.com.br/precatorios/como-receber,740,98,0.13378195043146604,3.3
2025-06-19,o que são precatórios,https://precavida.com.br/precatorios/tipos,533,63,0.11970260360349516,4.8
2025-06-19,leis precatórias,https://precavida.com.br/precatorios/tipos,352,26,0.07423415769433513,6.5
2025-06-19,simular precatórios,https://precavida.com.br/precatorios/tipos,663,87,0.13214922874641247,2.8
2025-06-19,advogado precatórios,https://precavida.com.br/precatorios/tipos,735,104,0.14284760185217338,4.0
2025-06-19,precatórios tempo recebimento,https://precavida.com.br/precatorios/tipos,659,59,0.08968322214235991,5.0
2025-06-19,precatórios alimentares,https://precavida.com.br/precatorios/calculadora,547,46,0.084446939430637,3.6
2025-06-19,como receber precatórios,https://precavida.com.br/precatorios/calculadora,682,66,0.09759898839872692,3.7
2025-06-19,o que são precatórios,https://precavida.com.br/precatorios/calculadora,850,110,0.13045052735521362,2.5
2025-06-19,precatórios união,https://precavida.com.br/precatorios/calculadora,818,84,0.10381228311217316,4.4
